Tu falta de querer; Mon Laferte; Pop; 2015; Español; https://www.youtube.com/watch?v=V2UhHX70Ck4
Canon in D; Johann Pachelbel; Clásica; 1680; Sin letra; https://www.youtube.com/watch?v=NlprozGcs80
The Four Seasons: Spring; Antonio Vivaldi; Clásica; 1723; Sin letra; https://www.youtube.com/watch?v=mFWQgxXM_b8
Moonlight Sonata; Ludwig van Beethoven; Clásica; 1801; Sin letra; https://www.youtube.com/watch?v=4Tr0otuiQuU
Clair de Lune; Claude Debussy; Clásica; 1905; Sin letra; https://www.youtube.com/watch?v=CvFH_6DNRCY
Titanium; David Guetta ft. Sia; Electrónica; 2011; Inglés; https://www.youtube.com/watch?v=JRfuAukYTKg
Animals; Martin Garrix; Electrónica; 2013; Sin letra; https://www.youtube.com/watch?v=gCYcHz2k5x0
Lean On; Major Lazer & DJ Snake ft. MØ; Electrónica; 2015; Inglés; https://www.youtube.com/watch?v=YqeW9_5kURI
Stay; Zedd & Alessia Cara; Electrónica; 2017; Inglés; https://www.youtube.com/watch?v=h--P8HzYZ74
Don't You Worry Child; Swedish House Mafia ft. John Martin; Electrónica; 2012; Inglés; https://www.youtube.com/watch?v=1y6smkh6c-0
99 Luftballons; Nena; Pop; 1983; Alemán; https://www.youtube.com/watch?v=La4Dcd1aUcE
Du hast; Rammstein; Metal; 1997; Alemán; https://www.youtube.com/watch?v=W3q8Od5qJio
Atemlos durch die Nacht; Helene Fischer; Pop; 2013; Alemán; https://www.youtube.com/watch?v=Qz4qjDUrWhE
Männer; Herbert Grönemeyer; Rock; 1984; Alemán; https://www.youtube.com/watch?v=E5jsVcYgp-g
Haus am See; Peter Fox; Rap; 2008; Alemán; https://www.youtube.com/watch?v=4BJDNw7o6so
Volare (Nel blu dipinto di blu); Domenico Modugno; Pop; 1958; Italiano; https://www.youtube.com/watch?v=Z-DVi0ugelc
L'italiano; Toto Cutugno; Pop; 1983; Italiano; https://www.youtube.com/watch?v=bXGxXmdndJM
La solitudine; Laura Pausini; Pop; 1993; Italiano; https://www.youtube.com/watch?v=pLYoXGEaZ8g
Sarà perché ti amo; Ricchi e Poveri; Pop; 1981; Italiano; https://www.youtube.com/watch?v=bo7mIB_ehXY
Ti amo; Umberto Tozzi; Pop; 1977; Italiano; https://www.youtube.com/watch?v=9BNpG7H6oMI
La Vie en Rose; Édith Piaf; Chanson; 1945; Francés; https://www.youtube.com/watch?v=kFzViYkZAz4
Tous les mêmes; Stromae; Pop; 2013; Francés; https://www.youtube.com/watch?v=CAMWdvo71ls
Je te promets; Johnny Hallyday; Pop; 1986; Francés; https://www.youtube.com/watch?v=6PdBF6cx2vg
Dernière danse; Indila; Pop; 2013; Francés; https://www.youtube.com/watch?v=K5KAc5CoCuk
Formidable; Stromae; Pop; 2013; Francés; https://www.youtube.com/watch?v=S_xH7noaqTA
